QuestionText,Option1 (correct answer),Option2,Option3,Option4
"In serie A giocano venti squadre. Quanti partite si svolgono, in tutto, durante una stagione di campionato?",Tre cento ottanta,Quattro cento,Tre cento venti,Quattro cento quaranta
Quale calciatore ha vestito la maglia numero 3 dei londinesi del Chelsea nella scorsa stagione?,Alonso,Palmieri,David Luiz,Pedro
"Per quale nazionale gioca il difensore dell'Everton, Yerry Mina?",Colombia,Venezuela,Cile,Messico
"Quale squadra tifa il protagonista di Febbre a 90, libro di Nick Hornby sulla passione per il calcio?",Arsenal,Chelsea,Manchester United,Cardiff
Quale tra questi calciatori ha militato sia nella Reggina sia nel Siena?,Cozza,Mozart,Bianchi,Vergassola
Quale tra questi colori non rappresenta un settore dello stadio di San Siro?,Viola,Verde,Rosso,Arancio
Quanti calciatori possono essere convocati da un commissario tecnico di nazionale per i campionati mondiali?,Venti tre,Venti cinque,Diciotto,Trenta
Quale squadra gioca le proprie partite casalinghe allo stadio Piercesare Tombolato?,Cittadella,Benevento,Teramo,Pisa
L'11 settembre 2011 si svolse la prima partita ufficiale allo Juventus Stadium. La Juve batté il Parma 4 a 1. Chi segnò per gli emiliani?,Giovinco,Marchionni,Mutu,Paletta
Quale ex calciatore dell'Inter viene nominato insieme a Corso e Suarez nel famoso monologo di Stefano Accorsi nel film Radiofreccia?,Mazzola,Rivera,Facchetti,Bedin
"Quante squadre prendono parte, in tutto, al campionato di Serie C?",Sessanta,Quaranta,Trenta sei,Cinquanta due
In quale delle seguenti città non è presente una squadra di calcio sponsorizzata dalla Red Bull?,Budapest,Salisburgo,Lipsia,New York
"Quale è l'unica squadra professionistica in cui ha giocato Jurgen Klopp, oggi allenatore del Liverpool?",Magonza,Lipsia,Herta Berlino,Friburgo
Con che nome è conosciuto lo stadio di Catania?,Massimino,Cellino,Librino,Favorita
"Il 5 maggio 2002 è passato alla storia per la disfatta dell'Inter, che perse con la Lazio, consegnando lo scudetto alla Juve. Contro chi giocò la Juventus quel giorno?",Udinese,Perugia,Parma,Empoli
"Quale tra queste è una grande passione di Gareth Bale, ala gallese?",Golf,Basket,Tennis,Scacchi
Chi è il più giovane marcatore in una partita ufficiale nella storia dell'Inter?,Corso,Esposito,Mazzola,Martins
"Quale è la traduzione italiana del soprannome con cui era conosciuto Alfredo Di Stefano, storico attaccante del Real Madrid?",Saetta bionda,Razzo pazzo,Colpo di fulmine,Toro scatenato
"Oltre all'Hellas e al defunto Chievo, vi è una terza squadra professionistica nella città di Verona. Come si chiama?",Virtus,Fortitudo,Olimpia,Robur
Quale calciatore veste la maglia numero 33 della Juventus nella stagione attuale?,Bernardeschi,Costa,Ronaldo,Rabiot
"Chi sedette sulla panchina della Juventus nella prima in stagione in Serie A, dopo la retrocessione nei cadetti a causa di Calciopoli?",Ranieri,Conte,Ferrara,Zaccheroni
La penultima finale di Champions League ha visto il Liverpool battere il Tottenham per 1 a 0. In che mese si svolse la partita?,Giugno,Maggio,Aprile,Luglio
Quale squadra gioca le proprie partite casalinghe allo stadio Pier Giovanni Mecchia?,Portogruaro,Cittadella,Fidelis Andria,Catanzaro
Nel 1983 il brasiliano Zico era uno dei calciatori più forti del mondo. Lasciò il Flamengo per trasferirsi in quale squadra europea?,Udinese,Barcellona,Real Madrid,Roma
Quale nazionale sudamericana ha vinto la finale dell'ultima edizione della Coppa America contro il Brasile?,Argentina,Cile,Venezuela,Paraguay
Chi era l'allenatore del Chelsea durante la prima stagione di presidenza di Roman Abramovic?,Ranieri,Mourinho,Di Matteo,Vialli
"Con che soprannome era conosciuto Eusebio, storico attaccante del Portogallo?",Pantera nera,Gatto di marmo,Leone feroce,Zampa di elefante
Felipe Caicedo è un attaccante ecuadoriano che gioca nell'Inter. Quale numero di maglia veste nella stagione attuale?,Ottantotto,Nove,Settanta,Novanta
Quale squadra gioca le proprie partite casalinghe allo stadio Del Duca?,Ascoli,Ancona,Pescara,Rimini
Quale di queste squadre non ha il rosso come colore predominante della propria prima maglia?,Colonia,Benfica,Liverpool,Arsenal
Quale di queste non era tra le 32 squadre che hanno preso parte alla fase finale della Champions League 2019-2020?,Siviglia,Stella rossa,Dinamo Zagabria,Salisburgo
Quale fra questi calciatori è l'unico a non essere nato in Sardegna?,Ceppitelli,Sirigu,Barella,Sau
A chi è intitolato lo stadio di Novara?,Piola,Riva,Meazza,Facchetti
Quale di queste squadre italiane non ha mai vinto lo scudetto nella sua storia?,Palermo,Pro Vercelli,Casale,Fiorentina
Quale tra queste nazionali non ha preso parte al mondiale di Russia 2018?,Olanda,Tunisia,Panama,Serbia
Che squadra tifa il cantante Luciano Ligabue?,Inter,Sassuolo,Bologna,Reggiana
Chi veste la maglia numero 10 della Roma nella stagione attuale?,Nessuno,Zaniolo,Pellegrini,Cristante
Con quale squadra ha esordito in Serie A l'ex portiere della nazionale Angelo Peruzzi?,Roma,Juventus,Inter,Lazio
Quale fra questi calciatori ha segnato più gol in Serie A durante la sua carriera?,Signori,Toni,Riva,Mancini
Quale calciatore italiano ha mosso i suoi primi passi calcistici nella squadra del Manoppello?,Verratti,Pellegrini,Donnarumma,Meret
"Di quale città era originario Totò Schillaci, storico bomber della nazionale nei mondiali di calcio di Italia 90?",Palermo,Catania,Messina,Enna
Contro quale squadra scese in campo Wesley Sneijder durante la sua prima partita con la maglia dell'Inter?,Milan,Juventus,Barcellona,Dinamo Kiev
"Quale è, oltre a quella della Roma, l'unica maglia vestita da Bruno Conti durante la sua carriera?",Genoa,Sampdoria,Bologna,Cagliari
Quale di queste squadre spagnole gioca le proprie partite casalinghe alla Rosaleda?,Malaga,Siviglia,Valencia,Cadice
"Di quale città sono originari i due fratelli, Filippo e Simone Inzaghi?",Piacenza,Parma,Bergamo,Mantova
"Con quale soprannome, preso dal mondo canino, era conosciuto l'ex giocatore della Juventus Edgar Davids?",Pitbull,Bulldog,Barboncino,Labrador
Quale settore dello stadio Olimpico è occupato dai tifosi della Lazio?,Curva nord,Curva sud,Curva est,Curva ovest
"Quante finali di Champions League, precedentemente conosciuta come Coppa Campioni, ha disputato il Milan nella sua storia?",Undici,Dieci,Dodici,Tredici
"Ighli Vannucchi è stato per anni un centrocampista di qualità dell'Empoli. Oltre al calcio, quale è la sua grande passione?",La pesca,L'arte moderna,La moda,La corsa
Quale giocatore veste la maglia numero 6 della Lazio nella stagione attuale?,Leiva,Luis Alberto,Pedro,Zaccagni
"Il 16 maggio 2010, l'Inter conquistò la Serie A battendo il Siena per 1 a 0. Chi fornì l'assist decisivo al gol di Milito?",Zanetti,Balotelli,Pandev,Motta
Chi detiene il record di presenze in gare ufficiali con la maglia del Bologna?,Bulgarelli,Savoldi,Di Vaio,Roversi
Il 16 giugno 2018 il Frosinone guadagnò la promozione in Serie A vincendo la gara di ritorno della finale playoff. Chi era l'avversario?,Palermo,Pescara,Latina,Venezia
Chi è la moglie di Francesco Totti?,Ilary Blasi,Elisabetta Canalis,Federica Nargi,Simona Ventura
Carlo Pellegatti inventava soprannomi fantasiosi per i giocatori del Milan durante le sue telecronache. Quale calciatore soprannominava Trilly Campanellino?,Pirlo,Gattuso,Nesta,Inzaghi
Quale tra queste nazionali ha partecipato per più volte ai campionati mondiali?,Brasile,Germania,Italia,Argentina
Quale squadra tedesca gioca le proprie partite interne alla Mercedes-Benz Arena?,Stoccarda,Colonia,Bayer Leverkusen,Herta Berlino
Chi vinse il campionato Europeo nel 2004?,Grecia,Italia,Francia,Olanda
Quale tra questi giocatori non ha giocato sia con la maglia della Juventus sia con quella del Torino?,De Ceglie,Quagliarella,Immobile,Balzaretti
"Per lungo tempo, in Serie A, chi vinceva una partita guadagnava 2 punti in classifica. In che anno furono introdotti i 3 punti?",Mille nove cento novanta quattro,Mille nove cento ottanta,Mille nove cento ottanta sette,Mille nove cento novanta
"Con la tifoseria di quale squadra, gli ultras del Pescara sono gemellati fin dal 1977?",Vicenza,Trapani,Empoli,Livorno
L'Italia perse la finale del Mondiale 1994 ai rigori contro il Brasile. Con che risultato si chiusero i tempi regolamentari?,Zero a zero,Uno a uno,Due a due,Tre a tre
Quale tra questi giocatori è il più giovane?,Tonali,Barella,Zaniolo,Valverde
Quale calciatore detiene il record di presenze in Champions League per un italiano?,Maldini,Buffon,Pirlo,Del Piero
Come è conosciuto lo stadio presso cui gli spagnoli del Villareal giocano le loro partite in casa?,Della ceramica,Dei marmi,Della vittoria,Del bufalo
"Questo gol lo vedranno anche a Tonga! Chi segnò il gol che spinse il telecronista di Sky, Massimo Compagnoni, a questa esclamazione?",Mascara,Di Natale,Tavano,Caputo
Juan Guillerme Cuadrado è un terzino o ala della Juventus. Quale è il suo secondo cognome?,Bello,Basso,Grosso,Grande
Francesco Totti è stata una delle ultime bandiere del calcio italiano. Quanti anni aveva al suo esordio con la Roma?,Sedici,Quattordici,Quindici,Diciassette
"Molti argentini e uruguagi, per il loro modo aggressivo di giocare, si dice giochino con la garra. Ma cosa vuol dire garra?",Artiglio,Unghia,Lotta,Rissa
Chi veste la maglia numero 25 del Cagliari nella stagione attuale?,Zappa,Cragno,Godin,Ceppitelli
La finale del mondiale 1994 è ricordata con molta amarezza dagli italiani. Chi sbagliò il primo calcio di rigore per gli azzurri?,Baresi,Baggio,Massaro,Signori
"Steven Gerrard, ex capitano del Liverpool, non è mai riuscito a vincere la Premier League, pur avendoci giocato per molte stagioni. Quante?",Diciassette,Venti,Quindici,Tredici
Chi ha vinto l'ultima edizione del campionato portoghese?,Sporting Lisbona,Porto,Benfica,Braga
"Quali sono i colori sociali del Besiktas, una delle squadre di calcio della città di Istanbul?",Nero e bianco,Giallo e nero,Giallo e rosso,Verde e bianco
Quale calciatore detiene il record di partite giocate con la nazionale italiana con la fascia di capitano?,Buffon,Cannavaro,Zoff,Bergomi
"Andrea Pirlo ha esordito nel Brescia. Pirlo, nel bresciano, è anche una parola molto comune. Che cosa è un pirlo?",Un aperitivo,Un insulto,Un attrezzo da lavoro,Un bastone
Quale azienda è il fornitore tecnico del Manchester City?,Puma,Adidas,Nike,Diadora
"Prima di tornare in Italia, sulla panchina della Roma, in che nazione ha allenato Luciano Spalletti?",Russia,Spagna,Inghilterra,Turchia
A quale calciatore è stato intitolato l'aeroporto di Belfast città?,Best,Bale,Giggs,Shearer
Chi è attualmente il designatore capo degli arbitri della Serie A?,Rizzoli,Collina,Pairetto,Braschi
Quale tra questi allenatori non è nato in Friuli Venezia Giulia?,Guidolin,Capello,Delneri,Bearzot
Teemu Pukki è un attaccante del Norwich City in Premier League. Di quale nazione scandinava è originario?,Finlandia,Danimarca,Norvegia,Svezia
Quale fra questi allenatori non è nato in Emilia Romagna?,Mancini,Ancelotti,Sacchi,Pioli
In quale città ligure ha sede la Virtus Entella?,Chiavari,La Spezia,Alassio,Albenga
"Simone Perrotta, ex centrocampista, è stato una colonna della Roma e della nazionale vincitrice del mondiale. In che squadra esordì in serie B?",Reggina,Bari,Chievo Verona,Lecce
Luis Alberto gioca nella Lazio. Che numero di maglia indossa con i biancocelesti?,Dieci,Venti,Trenta,Novanta
Chi ha segnato il primo gol in assoluto nella stagione 2021-2022 della Serie A?,Ilic,Ronaldo,Lautaro,Correa
Quale calciatore detiene il record di presenze in Serie A con la maglia della Sampdoria?,Mancini,Palombo,Vialli,Flachi
Leo Messi si è sposato nel 2017 con la sua fidanzata storica. Qual è il suo nome?,Antonella,Marta,Carolina,Jennifer
Come sono soprannominati i calciatori della nazionale di calcio del Camerun?,Leoni indomabili,Iene feroci,Tigri affamate,Pantere nere
In quale stadio giocano le proprie partite casalinghe gli inglesi dell'Aston Villa?,Villa Park,Aston Martin,Villa Stadium,Aston Palace
Il Mondiale di calcio del 2026 si terrà in diverse nazioni. Quale tra questi paesi non ospiterà nemmeno una partita?,Cile,Stati Uniti,Canada,Messico
Quale squadra vinse il Campionato Europeo del 1980?,Germania,Francia,Spagna,Inghilterra
Quale azienda è stata sponsor dell'Inter per numerosi anni?,Pirelli,Ford,Sky,Ferrari
"In quale di queste nazioni, Carlo Ancelotti non ha mai allenato?",Russia,Francia,Germania,Inghilterra
I Celtics e i Rangers hanno dominato gli ultimi anni del campionato scozzese. A che anno bisogna andare indietro per trovare un altro vincitore?,Mille nove cento ottanta cinque,Mille nove cento ottanta nove,Mille nove cento novanta sette,Mille nove cento novanta nove
Quale di questi calciatori non ha mai collezionato almeno una presenza con la maglia della nazionale maggiore italiana?,Spinesi,Schelotto,Ogbonna,Motta
Quale calciatore veste la maglia numero 2 della Juventus?,De Sciglio,Chiellini,Danilo,Rugani
Quale di questi calciatori non ha fatto parte delle squadre giovanili del Milan?,Immobile,Petagna,Darmian,Cristante
"La Coppa UEFA ha cambiato denominazione, diventando Europa League, nel 2009. Chi vinse la prima edizione della neonata Europa League?",Atletico Madrid,Siviglia,Porto,Liverpool